city,meal_at_an_inexpensive_restaurant,cappuccino_regular_size,basic_utilities_for_85_m2apartment_electricity_heating_cooling_water_garbage,broadband_internet_unlimited_data_60_mbps_or_higher,1_bedroom_apartment_in_city_centre,price_per_square_meter_to_buy_apartment_outside_of_centre,average_monthly_net_salary_after_tax,annual_mortgage_interest_rate_20_year_fixed_in_,market_basket_index,transportation_cost_index,sports_leisure_index,childcare_cost_index,predicted_salary_lr,predicted_salary_rf,city_cluster,SalaryToRent,SalaryToMarket
Muzaffarnagar-India,300.0,124.75,3500.0,500.0,10400.0,47500.0,36153.575,9.11,989.0,1136.5,1600.0,16861.110833333332,34648.76817411824,35901.04805398875,2,3.476305288461538,36.55568756319514
Latur-India,250.0,166.67,2483.87,700.0,15000.0,350000.0,52500.0,7.9,847.05,865.53,2290.625,14555.56,50964.42066185869,46146.256945197325,1,3.5,61.979812289711354
Dhule-India,200.0,175.0,5399.37,550.0,9000.0,47500.0,36153.575,8.5,872.4699999999999,1305.21,2900.0,52311.6175,48769.641460919185,36146.76232362631,1,4.017063888888889,41.438186986372024
Tirupati-India,175.0,176.67,2754.35,800.0,7875.0,32291.73,38750.0,8.0,878.5400000000001,1094.75,2933.33,33772.730833333335,51349.654443763684,38151.51407543303,1,4.920634920634921,44.107268877911075
Rohtak-India,300.0,86.67,3375.0,550.0,5666.67,55763.91,37500.0,9.11,1004.85,585.22,1973.33,14777.780833333332,32875.65398135719,37135.296148063804,2,6.617643166092255,37.319002836244216
Bhilwara-India,250.0,80.0,4426.76,708.47,10400.0,47500.0,36153.575,8.9,821.79,1136.5,2290.625,24238.86666666667,41007.33586933577,35351.54588997476,2,3.476305288461538,43.993690602221974
Berhampur-India,150.0,138.33,2248.27,663.34,9375.0,53819.55,37666.67,8.55,813.6500000000001,991.61,1755.56,19333.333333333332,38954.75221260768,36985.99701635778,2,4.017778133333334,46.29345541694831
Muzaffarpur-India,150.0,155.0,2750.0,640.0,6750.0,129166.93,30000.0,9.46,721.61,1048.62,2290.625,7216.666666666666,36577.32954844414,38411.1054952536,2,4.444444444444445,41.57370324690622
Ahmednagar-India,175.0,248.5,1200.0,299.0,7000.0,32280.97,12000.0,8.5,929.04,1136.5,2290.625,52311.6175,45396.999467364854,24066.169657863742,1,1.7142857142857142,12.916559028674762
Mathura-Uttar-Pradesh-India,250.0,186.88,4039.18,500.0,6250.0,64583.46,37072.82,7.5,878.5899999999999,348.81,2568.5699999999997,13333.33,34141.33256853723,38413.96956966126,2,5.9316512,42.19581374702649
